H1,H2,H3,Syntax,Description,Doc,Method,Endpoint
Discovery Data Plane,Lineage,Read-Next,pvw lineage read-next --guid=<val> [--direction=<val> --offset=<val> --limit=<val> --output=<val>],Retrieve lineage.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/lineage/read-next,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/lineage/read-next
Management Data Plane,Management,Addrootcollectionadmin,pvw management addRootCollectionAdmin --subscriptionId=<val> --resourceGroupName=<val> --accountName=<val> --objectId=<val>,Add RootCollectionAdmin for Purview account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/addrootcollectionadmin,POST,https://management.azure.com/subscriptions/{subscriptionId}/providers/Microsoft.Purview/addRootCollectionAdmin
Management Data Plane,Management,Checknameavailability,pvw management checkNameAvailability --subscriptionId=<val> --accountName=<val>,Check Purview account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/checknameavailability,GET,https://management.azure.com/subscriptions/{subscriptionId}/providers/Microsoft.Purview/checkNameAvailability
Management Data Plane,Management,Createaccount,pvw management createAccount --subscriptionId=<val> --resourceGroupName=<val> --accountName=<val> --payloadFile=<val>,Create a new Purview account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/createaccount,POST,https://management.azure.com/subscriptions/{subscriptionId}/providers/Microsoft.Purview/createAccount
Management Data Plane,Management,Defaultaccount,pvw management defaultAccount --scopeTenantId=<val> --scopeType=<val> --scope=<val>,Perform operation on Purview account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/defaultaccount,GET,https://management.azure.com/subscriptions/{subscriptionId}/providers/Microsoft.Purview/defaultAccount
Management Data Plane,Management,Deleteaccount,pvw management deleteAccount --subscriptionId=<val> --resourceGroupName=<val> --accountName=<val>,Delete Purview account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/deleteaccount,DELETE,https://management.azure.com/subscriptions/{subscriptionId}/providers/Microsoft.Purview/deleteAccount
Management Data Plane,Management,Deleteprivateendpoint,pvw management deletePrivateEndpoint --subscriptionId=<val> --resourceGroupName=<val> --accountName=<val> --privateEndpointConnectionName=<val>,Delete Purview account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/deleteprivateendpoint,DELETE,https://management.azure.com/subscriptions/{subscriptionId}/providers/Microsoft.Purview/deletePrivateEndpoint
Management Data Plane,Management,Listkeys,pvw management listKeys --subscriptionId=<val> --resourceGroupName=<val> --accountName=<val>,List all Purview accounts.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/listkeys,GET,https://management.azure.com/subscriptions/{subscriptionId}/providers/Microsoft.Purview/listKeys
Management Data Plane,Management,Listoperations,pvw management listOperations,List all Purview accounts.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/listoperations,GET,https://management.azure.com/subscriptions/{subscriptionId}/providers/Microsoft.Purview/listOperations
Management Data Plane,Management,Listprivatelinkresources,pvw management listPrivateLinkResources --subscriptionId=<val> --resourceGroupName=<val> --accountName=<val> [--groupId=<val>],List all Purview accounts.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/listprivatelinkresources,GET,https://management.azure.com/subscriptions/{subscriptionId}/providers/Microsoft.Purview/listPrivateLinkResources
Management Data Plane,Management,Putprivateendpoint,pvw management putPrivateEndpoint --subscriptionId=<val> --resourceGroupName=<val> --accountName=<val> --privateEndpointConnectionName=<val> --payloadFile=<val>,Create or update Purview account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/putprivateendpoint,PUT,https://management.azure.com/subscriptions/{subscriptionId}/providers/Microsoft.Purview/putPrivateEndpoint
Management Data Plane,Management,Readaccount,pvw management readAccount --subscriptionId=<val> --resourceGroupName=<val> --accountName=<val>,Retrieve Purview account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/readaccount,GET,https://management.azure.com/subscriptions/{subscriptionId}/providers/Microsoft.Purview/readAccount
Management Data Plane,Management,Readaccounts,pvw management readAccounts --subscriptionId=<val> [--resourceGroupName=<val>],Retrieve Purview account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/readaccounts,GET,https://management.azure.com/subscriptions/{subscriptionId}/providers/Microsoft.Purview/readAccounts
Management Data Plane,Management,Readprivateendpoint,pvw management readPrivateEndpoint --subscriptionId=<val> --resourceGroupName=<val> --accountName=<val> --privateEndpointConnectionName=<val>,Retrieve Purview account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/readprivateendpoint,GET,https://management.azure.com/subscriptions/{subscriptionId}/providers/Microsoft.Purview/readPrivateEndpoint
Management Data Plane,Management,Readprivateendpoints,pvw management readPrivateEndpoints --subscriptionId=<val> --resourceGroupName=<val> --accountName=<val>,Retrieve Purview account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/readprivateendpoints,GET,https://management.azure.com/subscriptions/{subscriptionId}/providers/Microsoft.Purview/readPrivateEndpoints
Management Data Plane,Management,Removedefaultaccount,pvw management removeDefaultAccount --scopeTenantId=<val> --scopeType=<val> --scope=<val>,Remove DefaultAccount for Purview account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/removedefaultaccount,DELETE,https://management.azure.com/subscriptions/{subscriptionId}/providers/Microsoft.Purview/removeDefaultAccount
Management Data Plane,Management,Setdefaultaccount,pvw management setDefaultAccount --subscriptionId=<val> --resourceGroupName=<val> --accountName=<val> --scopeTenantId=<val> --scopeType=<val> --scope=<val>,Set DefaultAccount for Purview account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/setdefaultaccount,POST,https://management.azure.com/subscriptions/{subscriptionId}/providers/Microsoft.Purview/setDefaultAccount
Management Data Plane,Management,Updateaccount,pvw management updateAccount --subscriptionId=<val> --resourceGroupName=<val> --accountName=<val> --payloadFile=<val>,Update an existing Purview account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/updateaccount,PUT,https://management.azure.com/subscriptions/{subscriptionId}/providers/Microsoft.Purview/updateAccount
Policy Data Plane,Policystore,Deletedatapolicy,pvw policystore deleteDataPolicy --policyName=<val>,Delete policy.,https://docs.microsoft.com/en-us/rest/api/purview/policystore/deletedatapolicy,DELETE,https://{accountName}.purview.azure.com/policystore/api/deleteDataPolicy
Policy Data Plane,Policystore,Deletedatapolicyscope,pvw policystore deleteDataPolicyScope --policyName=<val> --datasource=<val>,Delete policy.,https://docs.microsoft.com/en-us/rest/api/purview/policystore/deletedatapolicyscope,DELETE,https://{accountName}.purview.azure.com/policystore/api/deleteDataPolicyScope
Policy Data Plane,Policystore,Putdatapolicy,pvw policystore putDataPolicy --policyName=<val> --payloadFile=<val>,Create or update policy.,https://docs.microsoft.com/en-us/rest/api/purview/policystore/putdatapolicy,PUT,https://{accountName}.purview.azure.com/policystore/api/putDataPolicy
Policy Data Plane,Policystore,Putdatapolicyscope,pvw policystore putDataPolicyScope --policyName=<val> --payloadFile=<val>,Create or update policy.,https://docs.microsoft.com/en-us/rest/api/purview/policystore/putdatapolicyscope,PUT,https://{accountName}.purview.azure.com/policystore/api/putDataPolicyScope
Policy Data Plane,Policystore,Putmetadatapolicy,pvw policystore putMetadataPolicy --policyId=<val> --payloadFile=<val>,Create or update policy.,https://docs.microsoft.com/en-us/rest/api/purview/policystore/putmetadatapolicy,PUT,https://{accountName}.purview.azure.com/policystore/api/putMetadataPolicy
Policy Data Plane,Policystore,Readdatapolicies,pvw policystore readDataPolicies [--policyName=<val>],Retrieve policy.,https://docs.microsoft.com/en-us/rest/api/purview/policystore/readdatapolicies,GET,https://{accountName}.purview.azure.com/policystore/api/readDataPolicies
Policy Data Plane,Policystore,Readdatapolicyscopes,pvw policystore readDataPolicyScopes --policyName=<val>,Retrieve policy.,https://docs.microsoft.com/en-us/rest/api/purview/policystore/readdatapolicyscopes,GET,https://{accountName}.purview.azure.com/policystore/api/readDataPolicyScopes
Policy Data Plane,Policystore,Readmetadatapolicies,pvw policystore readMetadataPolicies,Retrieve policy.,https://docs.microsoft.com/en-us/rest/api/purview/policystore/readmetadatapolicies,GET,https://{accountName}.purview.azure.com/policystore/api/readMetadataPolicies
